label,log_file,direction,duration_to_pass_50_sec,avg_wait_time_sec,min_wait_time_sec,max_wait_time_sec,vehicles_by_type
priority_bottom_left_120,priority_log_120_20250622_071223.csv,down,28.0,9.33,0.0,15.97,"{'truck': 1, 'bike': 2, 'car': 1, 'bus': 6}"
priority_bottom_left_120,priority_log_120_20250622_071221.csv,down,75.0,6.6,0.0,24.3,"{'truck': 3, 'bike': 1, 'car': 2, 'bus': 4}"
priority_bottom_left_120,priority_log_120_20250622_071224.csv,down,68.0,13.51,1.24,36.76,"{'truck': 3, 'bike': 5, 'car': 1, 'bus': 1}"
fixed_bottom_left_120,fixed_log_120_20250622_065356.csv,down,66.0,18.69,0.0,49.74,"{'truck': 3, 'bike': 3, 'car': 3, 'bus': 1}"
priority_bottom_left_120,priority_log_120_20250622_071225.csv,down,53.0,12.12,0.24,31.01,"{'truck': 3, 'bike': 4, 'bus': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065354.csv,down,67.0,25.84,0.0,52.9,"{'truck': 2, 'bike': 2, 'car': 3, 'bus': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065358.csv,down,66.0,20.65,0.0,51.89,"{'truck': 3, 'bike': 2, 'car': 2, 'bus': 3}"
fixed_bottom_left_120,fixed_log_120_20250622_065355.csv,down,66.0,17.66,0.0,47.74,"{'truck': 2, 'bike': 2, 'car': 3, 'bus': 3}"
priority_bottom_left_120,priority_log_120_20250622_071222.csv,down,63.0,5.09,0.0,11.47,"{'truck': 3, 'bike': 2, 'car': 3, 'bus': 2}"
fixed_bottom_left_120,fixed_log_120_20250622_065357.csv,down,67.0,26.52,0.73,53.5,"{'truck': 3, 'bike': 3, 'car': 2, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043134.csv,down,64.0,13.76,0.0,53.64,"{'truck': 2, 'bike': 2, 'car': 2, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043127.csv,down,66.0,23.15,0.0,52.75,"{'truck': 2, 'bike': 3, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250622_071739.csv,down,66.0,16.62,0.0,41.81,"{'truck': 1, 'bike': 4, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043130.csv,down,70.0,20.19,0.0,46.91,"{'bike': 2, 'car': 4, 'bus': 4}"
priority_even_120,priority_log_120_20250622_071718.csv,down,57.0,5.82,0.0,24.03,"{'bike': 1, 'car': 5, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043417.csv,down,35.0,7.11,0.0,22.38,"{'truck': 1, 'bike': 4, 'car': 2, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043419.csv,down,53.0,5.17,0.0,17.87,"{'truck': 1, 'bike': 4, 'car': 4, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043132.csv,down,67.0,21.59,0.0,45.29,"{'truck': 4, 'bike': 2, 'car': 3, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043128.csv,down,67.0,20.7,0.0,48.44,"{'truck': 1, 'bike': 2, 'car': 2, 'bus': 5}"
fixed_even_120,fixed_log_120_20250622_071737.csv,down,67.0,28.07,4.19,49.16,"{'truck': 2, 'bike': 3, 'car': 3, 'bus': 2}"
fixed_even_120,fixed_log_120_20250629_043124.csv,down,65.0,22.42,0.0,52.99,"{'truck': 3, 'bike': 1, 'car': 1, 'bus': 5}"
priority_even_120,priority_log_120_20250629_043415.csv,down,78.0,17.98,0.0,52.58,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043416.csv,down,66.0,10.06,0.0,22.85,"{'truck': 3, 'bike': 3, 'car': 3, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043412.csv,down,82.0,16.94,0.39,38.29,"{'truck': 1, 'bike': 4, 'car': 4, 'bus': 1}"
priority_even_120,priority_log_120_20250622_071717.csv,down,107.0,17.97,0.0,45.33,"{'truck': 4, 'bike': 3, 'car': 2, 'bus': 1}"
priority_even_120,priority_log_120_20250629_043420.csv,down,42.0,7.46,0.0,22.64,"{'truck': 4, 'bike': 2, 'car': 2, 'bus': 2}"
priority_even_120,priority_log_120_20250629_043413.csv,down,53.0,8.6,0.0,20.23,"{'truck': 1, 'bike': 2, 'car': 6, 'bus': 1}"
fixed_even_120,fixed_log_120_20250629_043125.csv,down,67.0,29.44,0.0,51.45,"{'truck': 3, 'bike': 1, 'car': 2, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043129.csv,down,65.0,22.05,0.0,47.73,"{'truck': 3, 'bike': 3, 'car': 4}"
priority_even_120,priority_log_120_20250622_071716.csv,down,91.0,16.55,0.0,41.22,"{'truck': 3, 'bike': 2, 'car': 2, 'bus': 3}"
fixed_even_120,fixed_log_120_20250622_071738.csv,down,68.0,21.62,0.0,50.06,"{'truck': 2, 'car': 5, 'bus': 3}"
fixed_even_120,fixed_log_120_20250629_043135.csv,down,67.0,25.84,0.0,52.92,"{'truck': 4, 'bike': 1, 'car': 2, 'bus': 3}"
priority_even_120,priority_log_120_20250629_043422.csv,down,78.0,8.47,0.0,17.34,"{'truck': 2, 'bike': 1, 'car': 5, 'bus': 2}"
fixed_even_120,fixed_log_120_20250622_071741.csv,down,64.0,12.53,0.0,51.86,"{'truck': 2, 'bike': 3, 'car': 1, 'bus': 4}"
priority_even_120,priority_log_120_20250629_043411.csv,down,46.0,5.64,0.0,13.95,"{'truck': 3, 'bike': 1, 'car': 2, 'bus': 4}"
fixed_even_120,fixed_log_120_20250629_043131.csv,down,67.0,16.83,0.0,51.81,"{'truck': 2, 'bike': 2, 'car': 3, 'bus': 3}"
priority_even_120,priority_log_120_20250622_071715.csv,down,81.0,4.5,0.0,13.04,"{'truck': 2, 'bike': 7, 'car': 1}"
fixed_even_120,fixed_log_120_20250622_071740.csv,down,68.0,23.18,0.0,47.62,"{'truck': 3, 'bike': 1, 'car': 2, 'bus': 4}"
